TF,Cell type,Genome,GEO ID
AR,Prostate cancer-derived fibroblasts,hg19,"['GSM3615444', 'GSM3615445', 'GSM3615448', 'GSM3615449', 'GSM3615450', 'GSM3615451', 'GSM3615454', 'GSM3615455']"
AR,R1-AD1,hg19,"['GSM2532931', 'GSM2532932', 'GSM2532933']"
AR,R1-D567,hg19,"['GSM2532935', 'GSM2532936', 'GSM2729730', 'GSM2729733']"
AR,THP-1,hg19,"['GSM3772932', 'GSM3772933', 'GSM3772934', 'GSM3772935']"
AR,Unclassified,hg19,"['GSM1207887', 'GSM1207888', 'GSM1207891', 'GSM1207892', 'GSM1207895', 'GSM1207896', 'GSM1207899', 'GSM1207900', 'GSM1207903', 'GSM1207904', 'GSM1207907', 'GSM1207908', 'GSM1207911', 'GSM1207912', 'GSM1207915']"
AR,VCS2,hg19,['GSM801012']
AR,VCaP,hg19,"['GSM353636', 'GSM353638', 'GSM353645', 'GSM353646', 'GSM717392', 'GSM717393', 'GSM717394', 'GSM801011', 'GSM817347', 'GSM817348', 'GSM817349', 'GSM817350', 'GSM817351', 'GSM817352', 'GSM817353', 'GSM817354', 'GSM2058879', 'GSM2058880', 'GSM2086291', 'GSM2086292', 'GSM2086293', 'GSM2086294', 'GSM2086295', 'GSM2086296', 'GSM2086297', 'GSM2086298', 'GSM2086299', 'GSM2086300', 'GSM2086301', 'GSM2086302', 'GSM2086303', 'GSM2086304', 'GSM2086305', 'GSM2086306', 'GSM2086307', 'GSM2086308', 'GSM980657', 'GSM980658', 'GSM2235686', 'GSM2235687', 'GSM2235688', 'GSM2235689', 'GSM2427944', 'GSM2427945', 'GSM2478587', 'GSM2478588', 'GSM1327093', 'GSM1328945', 'GSM1328947', 'GSM1328950', 'GSM1328952', 'GSM1328953', 'GSM1328954', 'GSM1328955', 'GSM1328956', 'GSM1328957', 'GSM1328958', 'GSM1354830', 'GSM1354831', 'GSM1410768', 'GSM1410772', 'GSM1410773', 'GSM1410774', 'GSM1410784', 'GSM1410785', 'GSM1463459', 'GSM1463460']"
AR,hESC derived neural cells,hg19,"['GSM2302950', 'GSM2302952', 'GSM2302953', 'GSM2302955', 'GSM2302957', 'GSM2302958']"
ARID1A,12Z,hg19,"['GSM3721977', 'GSM3721978']"
ARID1A,HCT 116,hg19,['-']
